Name,Institution,Department,PHD Institution
Josh Correll,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
June Gruber,University of Colorado Boulder,Department of Psychology and Neuroscience,University of California at Berkeley
Tiffany Ito,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Southern California
Charles M. Judd,University of Colorado Boulder,Department of Psychology and Neuroscience,Columbia University
A. Peter McGraw,University of Colorado Boulder,Department of Psychology and Neuroscience,Ohio State University
Bernadette Park,University of Colorado Boulder,Department of Psychology and Neuroscience,Northwestern University
Leaf Van Boven,University of Colorado Boulder,Department of Psychology and Neuroscience,Cornell University
Ruth Barrientos,University of Colorado Boulder,Department of Psychology and Neuroscience,George Washington University
Emily Richardson,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Iowa
Barbara Weiland,University of Colorado Boulder,Department of Psychology and Neuroscience,Oakland University
Joseph Berta,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
Heidi Day,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Cambridge
Vyga Kaufmann,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
D. Brett King,University of Colorado Boulder,Department of Psychology and Neuroscience,Colorado State University
Diane Martichuski,University of Colorado Boulder,Department of Psychology and Neuroscience,Colorado State University
Jennifer Schwartz,University of Colorado Boulder,Department of Psychology and Neuroscience,Emory University
Natalie Smutzler,University of Colorado Boulder,Department of Psychology and Neuroscience,Indiana University
Samantha Strife,University of Colorado Boulder,Department of Psychology and Neuroscience,Colorado State University
Geoff Urland,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
Tina Pittman Wagers,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Denver
Michael Freedman,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
Alexis Northcutt,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
Chelsea Pierotti,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Northern Colorado
Glenda Russell,University of Colorado Boulder,Department of Psychology and Neuroscience,University of Colorado Boulder
Duane G Albrecht,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Jennifer Beer,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Christopher G Beevers,UT College of Liberal Arts,Psychology,University of Miami
Rebecca Bigler,UT College of Liberal Arts,Psychology,Pennsylvania State University
Amy Booth,UT College of Liberal Arts,Psychology,"University of Pittsburgh, PA"
Arnold H Buss,UT College of Liberal Arts,Psychology,Indiana University
David M Buss,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Caryn L Carlson,UT College of Liberal Arts,Psychology,University of Georgia
Bharath Chandrasekaran,UT College of Liberal Arts,Psychology,Purdue University
Jessica Church-Lang,UT College of Liberal Arts,Psychology,Washington University at St. Louis
Leslie B Cohen,UT College of Liberal Arts,Psychology,"University of California, Los Angeles"
Lawrence K Cormack,UT College of Liberal Arts,Psychology,University of California at Berkeley
David Crews,UT College of Liberal Arts,Psychology,Rutgers University
Yvon Delville,UT College of Liberal Arts,Psychology,University of Massachusetts at Amherst
Randy L Diehl,UT College of Liberal Arts,Psychology,University of Minnesota
Andrew Dillon,UT College of Liberal Arts,Psychology,University of Texas at Austin School of Information
Juan M Dominguez,UT College of Liberal Arts,Psychology,State University of New York at Buffalo
Michael P Domjan,UT College of Liberal Arts,Psychology,McMaster University
Catharine H Echols,UT College of Liberal Arts,Psychology,University of Illinois
Kim Fromme,UT College of Liberal Arts,Psychology,University of Washington
Bertram Gawronski,UT College of Liberal Arts,Psychology,Humboldt University Berlin (Germany)
David L Gilden,UT College of Liberal Arts,Psychology,University of Texas at Austin
Francisco Gonzalez-Lima,UT College of Liberal Arts,Psychology,University of Puerto Rico School of Medicine
Samuel D Gosling,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Philip B Gough,UT College of Liberal Arts,Psychology,University of Minnesota
Andreana P Haley,UT College of Liberal Arts,Psychology,University of Virginia
Kathryn Paige Harden,UT College of Liberal Arts,Psychology,University of Virginia
Mary M Hayhoe,UT College of Liberal Arts,Psychology,"University of California, San Diego"
Marlone D Henderson,UT College of Liberal Arts,Psychology,New York University
Charles J Holahan,UT College of Liberal Arts,Psychology,"University of Massachusetts, Amherst"
Wayne H Holtzman,UT College of Liberal Arts,Psychology,"Psychology and Statistics, Stanford University"
Joseph M Horn,UT College of Liberal Arts,Psychology,University of Minnesota
Alexander C Huk,UT College of Liberal Arts,Psychology,Stanford University
Ira Iscoe,UT College of Liberal Arts,Psychology,"University of California, Los Angeles"
Theresa A Jones,UT College of Liberal Arts,Psychology,University of Texas at Austin
Robert A Josephs,UT College of Liberal Arts,Psychology,University of Michigan
Judith H Langlois,UT College of Liberal Arts,Psychology,Louisiana State University
Hongjoo (Joanne) Lee,UT College of Liberal Arts,Psychology,Yale University
Cristine H Legare,UT College of Liberal Arts,Psychology,University of Michigan
Marc S Lewis,UT College of Liberal Arts,Psychology,University of Cincinnati
Jarrod A Lewis-Peacock,UT College of Liberal Arts,Psychology,University of Wisconsin-Madison
John C Loehlin,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Peter F Macneilage,UT College of Liberal Arts,Psychology,McGill University
Arthur B Markman,UT College of Liberal Arts,Psychology,University of Illinois
Dennis McFadden,UT College of Liberal Arts,Psychology,Indiana University
Richard P Meier,UT College of Liberal Arts,Psychology,"University of California, San Diego"
Cindy M Meston,UT College of Liberal Arts,Psychology,University of British Columbia
Marie H Monfils,UT College of Liberal Arts,Psychology,University of Lethbridge
Ian Nauhaus,UT College of Liberal Arts,Psychology,"University of California, Los Angeles"
James W Pennebaker,UT College of Liberal Arts,Psychology,University of Texas at Austin
Alison R Preston,UT College of Liberal Arts,Psychology,Stanford University
Manuel Ramirez III,UT College of Liberal Arts,Psychology,University of Texas at Austin
Timothy J Schallert,UT College of Liberal Arts,Psychology,Arizona State University
David M Schnyer,UT College of Liberal Arts,Psychology,University of Arizona
Eyal Seidemann,UT College of Liberal Arts,Psychology,Stanford University
Jasper Smits,UT College of Liberal Arts,Psychology,University of Texas at Austin
Michael J Telch,UT College of Liberal Arts,Psychology,Stanford University
Delbert D Thiessen,UT College of Liberal Arts,Psychology,"University of California, Berkeley"
Elliot Tucker-Drob,UT College of Liberal Arts,Psychology,University of Virginia
Jacqueline D Woolley,UT College of Liberal Arts,Psychology,University of Michigan
David S Yeager,UT College of Liberal Arts,Psychology,Stanford University
Ilana Albanese,UT College of Liberal Arts,Psychology,University of Florida
Kirsten E Bradbury,UT College of Liberal Arts,Psychology,"Virginia Tech, Blacksburg, VA"
Melissa R Bunner,UT College of Liberal Arts,Psychology,University of Texas at Austin
Nicolas Carrasco,UT College of Liberal Arts,Psychology,University of Texas at Austin
Patrick J Carroll,UT College of Liberal Arts,Psychology,University of Massachusetts
Jack De La Torre,UT College of Liberal Arts,Psychology,"University of Geneva, Geneva, Switzerland"
Wendy I Domjan,UT College of Liberal Arts,Psychology,Univeristy of Wisconsin-Madison
Jacqueline Evans,UT College of Liberal Arts,Psychology,The University of Texas at Austin
Stephen E Finn,UT College of Liberal Arts,Psychology,"University of Minnesota, Minneapolis"
Eric Frey,UT College of Liberal Arts,Psychology,Texas Tech University
Penelope Frohlich,UT College of Liberal Arts,Psychology,University of Texas at Austin
Jerry R Grammer,UT College of Liberal Arts,Psychology,University of Texas Southwestern Medical Center at Dallas
Raymond C Hawkins II,UT College of Liberal Arts,Psychology,University of Pennsylvania
Robin Hilsabeck,UT College of Liberal Arts,Psychology,Louisiana State University
John G Hixon,UT College of Liberal Arts,Psychology,University of Texas at Austin
Parviz Kavoussi,UT College of Liberal Arts,Psychology,The University of Texas Medical Branch at Galveston
Elayne L Lansford,UT College of Liberal Arts,Psychology,University of Michigan
Martita A Lopez,UT College of Liberal Arts,Psychology,Syracuse University
Bradley C Love,UT College of Liberal Arts,Psychology,Northwestern University
Mirna Mejia,UT College of Liberal Arts,Psychology,St. John's University
Vagdevi V Meunier,UT College of Liberal Arts,Psychology,"Antioch New England Graduate School, Keene NH"
Pamela Moore,UT College of Liberal Arts,Psychology,Texas Tech University
Zoltan Nadasdy,UT College of Liberal Arts,Psychology,Rutgers University
Kari Nations,UT College of Liberal Arts,Psychology,University of Texas at Austin
Rebecca Neal-Beevers,UT College of Liberal Arts,Psychology,University of Miami
Stephanie Paulos,UT College of Liberal Arts,Psychology,The University of Texas at Austin
Jonathan William Pillow,UT College of Liberal Arts,Psychology,New York University
Mark Powers,UT College of Liberal Arts,Psychology,University of Texas at Austin
Lauretta Reeves,UT College of Liberal Arts,Psychology,Temple University
Ann M. Repp,UT College of Liberal Arts,Psychology,University of Texas at Austin
Juan A Salinas,UT College of Liberal Arts,Psychology,"University of California, Irvine"
Jason Shumake,UT College of Liberal Arts,Psychology,The University of Texas at Austin
Eric M Stice,UT College of Liberal Arts,Psychology,Arizona State University
Jeffrey Titus,UT College of Liberal Arts,Psychology,Ball State University
Irene Potocki Tobis,UT College of Liberal Arts,Psychology,"University of Wisconsin, Madison"
David M Tucker,UT College of Liberal Arts,Psychology,University of Georgia
Walter Wilczynski,UT College of Liberal Arts,Psychology,University of Michigan
Tal Yarkoni,UT College of Liberal Arts,Psychology,Washington University
Josefina Alvarez,The Adler University,Psychology, DePaul University
Larry Axelrod,The Adler University,Psychology, University of British Columbia
Christine Bard,The Adler University,Psychology, The Pennsylvania State University
Dan Barnes,The Adler University,Psychology, University of Kentucky
Rabiatu E. Barrie,The Adler University,Psychology, Loyola University Chicago
Catherine Barrington,The Adler University,Psychology, Florida State University
Geoff Bathje,The Adler University,Psychology, University of Georgia
Lyuba Bobova,The Adler University,Psychology, Indiana University
Cathleen Bridgeman,The Adler University,Psychology, University of South Carolina
Debbie Clelland,The Adler University,Psychology, Simon Fraser University
Dan Cooper,The Adler University,Psychology,Vanderbilt University
Cristina Cox,The Adler University,Psychology, Loyola University of Chicago
Michelle Dennis,The Adler University,Psychology, Marquette University
Mary Drout,The Adler University,Psychology, University of Wisconsin-Madison
Danielle Duplassie,The Adler University,Psychology, Institute for Advanced Study of Human Sexuality
Vida B. Dyson,The Adler University,Psychology, University of Chicago
Duanita G. Eleniak,The Adler University,Psychology, International University of Professional Studies
Cadmona A. Hall,The Adler University,Psychology, Syracuse University
Kathleen Irvine,The Adler University,Psychology, University of British Columbia
Christina Jackson-Bailey,The Adler University,Psychology, University of Wisconsin-Milwaukee
Peter Ji,The Adler University,Psychology, University of Missouri-Columbia
"Rachel Johnston
Program Director",The Adler University,Psychology,University of Illinois at Chicago
Anna Khaylis,The Adler University,Psychology, Stanford University
Georgios Lampropoulos,The Adler University,Psychology, Ball State University
Justin Lauka,The Adler University,Psychology, Old Dominion University
Asa-Sophia Maglio,The Adler University,Psychology, University of British Columbia 
Harold Mosak,The Adler University,Psychology, University of Chicago
Renee Nank,The Adler University,Psychology,Cleveland State University
"Patrick O'Neill
Program Director",The Adler University,Psychology, Curtin University
Grady L. Osten-Garner Jr.,The Adler University,Psychology, Loyola University Chicago
Pamela Patterson,The Adler University,Psychology, University of British Columbia
"Seema Saigal
Core Faculty",The Adler University,Psychology, Northwestern University
Shaifali Sandhya,The Adler University,Psychology, University of Chicago
Marla Vannucci,The Adler University,Psychology, Northwestern University
Valerie Werner,The Adler University,Psychology, University of Illinois at Chicago
Jerry F. Westermeyer,The Adler University,Psychology, University of Chicago
Tanya Prewitt-White,The Adler University,Psychology, University of Tennessee – Knoxville
Joshua Wolff,The Adler University,Psychology, Biola University
Amy Zavada,The Adler University,Psychology, Syracuse University
